都道府県,受給者実人数_計,受給者実人員_男,受給者実人員_女,支給金額_計,支給金額_男,支給金額_女,year_month
全　国　計,358781,148157,210624,39261535044,18606000951,20655534093,2017-02-01
北　海　道,18336,6806,11530,1875984714,813474677,1062510037,2017-02-01
青　　　森,4846,2054,2792,476315988,233499665,242816323,2017-02-01
岩　　　手,3935,1715,2220,392674813,199521418,193153395,2017-02-01
宮　　　城,6783,2762,4021,733724783,352618040,381106743,2017-02-01
秋　　　田,3071,1320,1751,298325186,145927974,152397212,2017-02-01
山　　　形,3187,1319,1868,331288766,154083325,177205441,2017-02-01
福　　　島,5722,2623,3099,625670704,324328945,301341759,2017-02-01
茨　　　城,6884,3028,3856,765856439,389472853,376383586,2017-02-01
栃　　　木,5159,2288,2871,560188345,281871752,278316593,2017-02-01
群　　　馬,4601,2084,2517,497723787,258218143,239505644,2017-02-01
埼　　　玉,17791,7927,9864,2039319303,1040318913,999000390,2017-02-01
千　　　葉,14713,6497,8216,1761429583,882296887,879132696,2017-02-01
東　　　京,33581,14256,19325,4112127897,1918650734,2193477163,2017-02-01
神　奈　川,22900,10286,12614,2793187560,1421955407,1371232153,2017-02-01
新　　　潟,6159,2526,3633,628175682,298239711,329935971,2017-02-01
富　　　山,2561,951,1610,272694525,117052460,155642065,2017-02-01
石　　　川,3281,1273,2008,349554626,157114740,192439886,2017-02-01
福　　　井,2027,767,1260,208904003,90024411,118879592,2017-02-01
山　　　梨,2071,887,1184,222975915,110416263,112559652,2017-02-01
長　　　野,5831,2425,3406,617267101,289688431,327578670,2017-02-01
岐　　　阜,4859,2026,2833,510084968,245546019,264538949,2017-02-01
静　　　岡,10163,4221,5942,1090227499,516895825,573331674,2017-02-01
愛　　　知,18697,7558,11139,2118711571,976835378,1141876193,2017-02-01
三　　　重,5637,2345,3292,596911187,286498778,310412409,2017-02-01
滋　　　賀,4440,1796,2644,461531472,217619186,243912286,2017-02-01
京　　　都,7423,2948,4475,818908305,373932123,444976182,2017-02-01
大　　　阪,26565,10961,15604,3000385749,1410587275,1589798474,2017-02-01
兵　　　庫,17063,6931,10132,1854024468,876209780,977814688,2017-02-01
奈　　　良,3707,1589,2118,404585576,198301610,206283966,2017-02-01
和　歌　山,2959,1231,1728,295749452,143241855,152507597,2017-02-01
鳥　　　取,1817,749,1068,179938087,82218700,97719387,2017-02-01
島　　　根,1981,845,1136,194385233,93791894,100593339,2017-02-01
岡　　　山,5793,2342,3451,605103327,282060278,323043049,2017-02-01
広　　　島,8612,3296,5316,907391544,401652035,505739509,2017-02-01
山　　　口,3556,1370,2186,375364576,169812673,205551903,2017-02-01
徳　　　島,2216,942,1274,228387136,110333344,118053792,2017-02-01
香　　　川,2999,1214,1785,306067903,141987965,164079938,2017-02-01
愛　　　媛,4043,1631,2412,412348614,193327544,219021070,2017-02-01
高　　　知,2548,1008,1540,251857624,114243882,137613742,2017-02-01
福　　　岡,18022,6934,11088,1930628084,863716796,1066911288,2017-02-01
佐　　　賀,2639,1000,1639,257346461,114865756,142480705,2017-02-01
長　　　崎,4534,1688,2846,439604417,193143115,246461302,2017-02-01
熊　　　本,6661,2523,4138,655386266,292727360,362658906,2017-02-01
大　　　分,4285,1691,2594,425221364,200491589,224729775,2017-02-01
宮　　　崎,3956,1511,2445,382310341,170783965,211526376,2017-02-01
鹿　児　島,5904,2229,3675,566204355,254688688,311515667,2017-02-01
沖　　　縄,4263,1784,2479,429479745,201712789,227766956,2017-02-01
