"prefecture","month","date","year","suicide_total","suicide_male","suicide_female","suicide_rate","suicide_rate_male","suicide_rate_female","yoy_suicide_rate","yoy_suicide_rate_male","yoy_suicide_rate_female","yo3y_base_total","yo3y_base_male","yo3y_base_female","yo3y_suicide_rate","yo3y_suicide_rate_male","yo3y_suicide_rate_female","kyujin_bairitsu","有効求職者数_パート含む一般","有効求職者数_パート除く常用","有効求職者数_男女計_パートタイムを除く一般","job_seeker_female","job_seeker_male","year_lag_suicide_total","yoy_suicide_total","year_lag_suicide_male","yoy_suicide_male","year_lag_suicide_female","yoy_suicide_female","prefec_zenkaku","unemp_benefit_number_total","unemp_benefit_number_male","unemp_benefit_number_female","unemp_benefit_yen_total","unemp_benefit_yen_male","unemp_benefit_yen_female","yoy_unemp_benefit_number_total","yoy_unemp_benefit_number_female","yoy_unemp_benefit_number_male","yoy_unemp_benefit_yen_total","yoy_unemp_benefit_yen_female","yoy_unemp_benefit_yen_male","households_total","households_receive","persons_total","persons_receive","year_lag_households_receive","yoy_households_receive","year_lag_persons_receive","yoy_persons_receive","households_receive_zenkoku","yoy_households_receive_zenkoku","persons_receive_zenkoku","yoy_persons_receive_zenkoku","yoy_households_receive_elderly_zenkoku","yoy_households_receive_singlemother_zenkoku","yoy_households_receive_disabled_zenkoku","yoy_households_receive_sick_zenkoku","yoy_households_receive_others_zenkoku","koguchi_apply","koguchi_number","koguchi_payment_amount","sogo_apply","sogo_number","sogo_payment_amount","jukyo_apply","jukyo_number","jukyo_payment_amount","total_labor_force_population","total_employed_person","total_population_over_15","total_unemployed_person","employment_rate","labor_participation_rate","unemployment_rate","jobs_to_applicants_ratio","year_month"
"Japan",1,"2017-01-01",2017,1667,1169,498,1.30167,1.871457,0.7591287,-0.04672500118613243,-0.004310999996960163,-0.0872441977262497,NA,NA,NA,NA,NA,NA,NA,1716027,1125245,1173907,502320,670308,1729,-62,1173,-4,556,-58,"全　国　計",371577,152322,219255,46991509472,22126595512,24864913960,NA,NA,NA,NA,NA,NA,1639460,1631283,2143887,2132671,NA,NA,NA,NA,1631283,NA,2132671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-01"
"Japan",2,"2017-02-01",2017,1520,1045,475,1.186886,1.672945,0.7240685,-0.07182399928569794,-0.08608700335025787,-0.058369800448417664,NA,NA,NA,NA,NA,NA,NA,1779833,1180523,1210229,530515,678286,1614,-94,1100,-55,514,-39,"全　国　計",358781,148157,210624,39261535044,18606000951,20655534093,NA,NA,NA,NA,NA,NA,1638944,1630857,2141881,2130842,NA,NA,NA,NA,1630857,NA,2130842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-02"
"Japan",3,"2017-03-01",2017,1780,1214,566,1.389906,1.943498,0.8627848,-0.1487780064344406,-0.23130500316619873,-0.07035659998655319,NA,NA,NA,NA,NA,NA,NA,1879857,1248057,1272742,559496,711705,1973,-193,1360,-146,613,-47,"全　国　計",360151,149697,210454,44957324316,21333903108,23623421208,NA,NA,NA,NA,NA,NA,1641532,1633768,2145415,2134880,NA,NA,NA,NA,1633768,NA,2134880,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-03"
"Japan",4,"2017-04-01",2017,1780,1210,570,1.389906,1.937095,0.8688822,0.025913000106811523,0.02294900082051754,0.028598299250006676,NA,NA,NA,NA,NA,NA,NA,1939779,1259941,1282964,561316,719942,1749,31,1197,13,552,18,"全　国　計",337884,140770,197114,38077176978,18055164486,20022012492,NA,NA,NA,NA,NA,NA,1637405,1629695,2131676,2121166,NA,NA,NA,NA,1629695,NA,2121166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-04"
"Japan",5,"2017-05-01",2017,1885,1289,596,1.471895,2.063566,0.9085155,-0.02311599999666214,-0.03607799857854843,-0.010925600305199623,NA,NA,NA,NA,NA,NA,NA,1921183,1239112,1253635,549985,701880,1917,-32,1313,-24,604,-8,"全　国　計",392176,157306,234870,45868783207,21286926726,24581856481,NA,NA,NA,NA,NA,NA,1639558,1631720,2130482,2119757,NA,NA,NA,NA,1631720,NA,2119757,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-05"
"Japan",6,"2017-06-01",2017,1729,1175,554,1.350083,1.881063,0.8444926,0.014166000299155712,0.01169199962168932,0.01638670079410076,NA,NA,NA,NA,NA,NA,NA,1869242,1201009,1212200,531778,678692,1713,16,1169,6,544,10,"全　国　計",399379,157368,242011,47350795142,21415981584,25934813558,NA,NA,NA,NA,NA,NA,1640519,1632313,2128659,2117248,NA,NA,NA,NA,1632313,NA,2117248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-06"
"Japan",7,"2017-07-01",2017,1681,1138,543,1.314235,1.823885,0.8288455,-0.04599900171160698,-0.0827919989824295,-0.011074000038206577,NA,NA,NA,NA,NA,NA,NA,1785034,1164141,1174210,516885,655611,1742,-61,1191,-53,551,-8,"全　国　計",400210,155964,244246,45589779159,20349923520,25239855639,NA,NA,NA,NA,NA,NA,1641087,1632629,2127205,2115400,NA,NA,NA,NA,1632629,NA,2115400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-07"
"Japan",8,"2017-08-01",2017,1717,1180,537,1.342381,1.891199,0.819687,0.10395900160074234,0.14621299505233765,0.06360699981451035,NA,NA,NA,NA,NA,NA,NA,1767273,1160407,1168281,517126,649379,1586,131,1090,90,496,41,"全　国　計",430497,165079,265418,54722736034,24238103338,30484632696,NA,NA,NA,NA,NA,NA,1642238,1633541,2127203,2115006,NA,NA,NA,NA,1633541,NA,2115006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-08"
"Japan",9,"2017-09-01",2017,1700,1198,502,1.32909,1.920048,0.7662624,0.04459799826145172,0.13023699820041656,-0.037072598934173584,NA,NA,NA,NA,NA,NA,NA,1766027,1153361,1159166,514226,643144,1645,55,1118,80,527,-25,"全　国　計",402787,155983,246804,47090591427,20864118658,26226472769,NA,NA,NA,NA,NA,NA,1642273,1633660,2125803,2113781,NA,NA,NA,NA,1633660,NA,2113781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-09"
"Japan",10,"2017-10-01",2017,1525,1058,467,1.192272,1.695668,0.7128377,-0.15234500169754028,-0.21581199765205383,-0.09202159941196442,NA,NA,NA,NA,NA,NA,NA,1769272,1151823,1157912,511324,644761,1722,-197,1194,-136,528,-61,"全　国　計",401399,156087,245312,48738590316,21600989371,27137600945,NA,NA,NA,NA,NA,NA,1642907,1634420,2125317,2113487,NA,NA,NA,NA,1634420,NA,2113487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-10"
"Japan",11,"2017-11-01",2017,1475,1010,465,1.153181,1.618738,0.7097849,-0.07899399846792221,-0.10223399847745895,-0.056965600699186325,NA,NA,NA,NA,NA,NA,NA,1707048,1103899,1118151,491265,625140,1578,-103,1075,-65,503,-38,"全　国　計",383678,150527,233151,47772608772,21383540504,26389068268,NA,NA,NA,NA,NA,NA,1642971,1634487,2124526,2112750,NA,NA,NA,NA,1634487,NA,2112750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-11"
"Japan",12,"2017-12-01",2017,1305,926,379,1.020272,1.48411,0.5785128,-0.13537999987602234,-0.1344050019979477,-0.13640959560871124,NA,NA,NA,NA,NA,NA,NA,1611495,1031262,1069562,463241,604764,1480,-175,1011,-85,469,-90,"全　国　計",359672,143082,216590,39943548906,18155081556,21788467350,NA,NA,NA,NA,NA,NA,1642614,1634171,2123290,2111685,NA,NA,NA,NA,1634171,NA,2111685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-12"
"Japan",1,"2018-01-01",2018,1502,1029,473,1.17429,1.64919,0.7219962,-0.12737999856472015,-0.2222670018672943,-0.03713250160217285,1.274785041809082,1.7988049983978271,0.7758325934410095,NA,NA,NA,NA,1640863,1054002,1096691,477162,618026,1667,-165,1169,-140,498,-25,"全　国　計",356271,144109,212162,46920896073,21660119334,25260776739,-15306,-7093,-8213,-70613399,395862779,-466476178,1640002,1631664,2118848,2107329,1631283,381,2132671,-25342,1631664,381,2107329,-25342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018-01"
"Japan",2,"2018-02-01",2018,1484,1013,471,1.160217,1.623546,0.7189434,-0.02666899934411049,-0.0493989996612072,-0.005125099793076515,1.2019376754760742,1.6851743459701538,0.7418167591094971,NA,NA,NA,NA,1689667,1098453,1123653,501291,620774,1520,-36,1045,-32,475,-4,"全　国　計",339543,138842,200701,38243196557,17813014841,20430181716,-19238,-9923,-9315,-1018338487,-225352377,-792986110,1638384,1630065,2115368,2103862,1630857,-792,2130842,-26980,1630065,-792,2103862,-26980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018-02"
"Japan",3,"2018-03-01",2018,1830,1310,520,1.430726,2.099552,0.7937379,0.04081999883055687,0.15605400502681732,-0.06904689967632294,1.4531053304672241,2.072617769241333,0.8632213473320007,NA,NA,NA,NA,1781453,1158860,1180028,526030,652376,1780,50,1214,96,566,-46,"全　国　計",336632,138720,197912,41498318258,19443212756,22055105502,-23519,-12542,-10977,-3459006058,-1568315706,-1890690352,1639768,1631823,2116807,2106055,1633768,-1945,2134880,-28825,1631823,-1945,2106055,-28825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018-03"
"Japan",4,"2018-04-01",2018,1661,1118,543,1.298599,1.791831,0.8288455,-0.09130699932575226,-0.14526399970054626,-0.040036700665950775,1.3508327007293701,1.8810240030288696,0.8460038900375366,NA,NA,NA,NA,1867211,1184413,1205696,534279,669652,1780,-119,1210,-92,570,-27,"全　国　計",326102,135219,190883,37299089163,17552062227,19747026936,-11782,-6231,-5551,-778087815,-274985556,-503102259,1635280,1627645,2103666,2093340,1629695,-2050,2121166,-27826,1627645,-2050,2093340,-27826,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018-04"
"Japan",5,"2018-05-01",2018,1714,1148,566,1.340035,1.839912,0.8639532,-0.13186000287532806,-0.22365400195121765,-0.04456229880452156,1.4356470108032227,2.0010406970977783,0.8973032832145691,NA,NA,NA,NA,1871398,1175636,1190492,528958,659747,1885,-171,1289,-141,596,-30,"全　国　計",388677,154110,234567,48351996604,22127057405,26224939199,-3499,-303,-3196,2483213397,1643082718,840130679,1637825,1629970,2103644,2092965,1631720,-1750,2119757,-26792,1629970,-1750,2092965,-26792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018-05"
"Japan",6,"2018-06-01",2018,1616,1106,510,1.265394,1.775313,0.7797167,-0.08468899875879288,-0.10575000196695328,-0.06477589905261993,1.3171312808990479,1.8419156074523926,0.8174384236335754,NA,NA,NA,NA,1799382,1125848,1136342,502435,632156,1729,-113,1175,-69,554,-44,"全　国　計",378449,148558,229891,44445141001,19915410395,24529730606,-20930,-12120,-8810,-2905654141,-1405082952,-1500571189,1636327,1627944,2098790,2087219,1632313,-4369,2117248,-30029,1627944,-4369,2087219,-30029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018-06"
"Japan",7,"2018-07-01",2018,1598,1088,510,1.251299,1.74642,0.7797167,-0.06293600052595139,-0.0774649977684021,-0.04912880063056946,1.3085893392562866,1.8256607055664062,0.8161605596542358,NA,NA,NA,NA,1722960,1097384,1107087,489416,615937,1681,-83,1138,-50,543,-33,"全　国　計",398911,155827,243084,48887846712,21788068707,27099778005,-1299,-1162,-137,3298067553,1859922366,1438145187,1637745,1629087,2098973,2086977,1632629,-3542,2115400,-28423,1629087,-3542,2086977,-28423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018-07"
"Japan",8,"2018-08-01",2018,1578,1039,539,1.235638,1.667766,0.8240536,-0.10674300044775009,-0.2234330028295517,0.004366599954664707,1.2721470594406128,1.7679836750030518,0.7999402284622192,NA,NA,NA,NA,1696982,1091039,1098495,487627,609177,1717,-139,1180,-141,537,2,"全　国　計",420686,162589,258097,53960743485,23901795065,30058948420,-9811,-7321,-2490,-761992549,-425684276,-336308273,1638599,1629762,2098594,2086302,1633541,-3779,2115006,-28704,1629762,-3779,2086302,-28704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018-08"
"Japan",9,"2018-09-01",2018,1604,1089,515,1.255998,1.748025,0.787361,-0.07309199869632721,-0.1720229983329773,0.021098600700497627,1.2898600101470947,1.8192946910858154,0.7856528162956238,NA,NA,NA,NA,1662893,1065941,1071301,475766,593859,1700,-96,1198,-109,502,13,"全　国　計",396505,155017,241488,46492133717,20659171020,25832962697,-6282,-5316,-966,-598457710,-393510072,-204947638,1636239,1627387,2094450,2082179,1633660,-6273,2113781,-31602,1627387,-6273,2082179,-31602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018-09"
"Japan",10,"2018-10-01",2018,1654,1141,513,1.29515,1.831493,0.7843033,0.10287799686193466,0.1358249932527542,0.07146559655666351,1.2773463726043701,1.812880277633667,0.767333447933197,NA,NA,NA,NA,1712073,1094115,1099891,488239,609950,1525,129,1058,83,467,46,"全　国　計",404533,158611,245922,51689263168,23016943388,28672319780,3134,610,2524,2950672852,1534718835,1415954017,1639185,1630601,2097426,2085627,1634420,-3819,2113487,-27860,1630601,-3819,2085627,-27860,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018-10"
"Japan",11,"2018-11-01",2018,1512,1007,505,1.183958,1.616401,0.7720724,0.03077699989080429,-0.002337000099942088,0.06228749826550484,1.189771294593811,1.6520370244979858,0.7495359182357788,NA,NA,NA,NA,1666623,1057599,1071218,473931,595662,1475,37,1010,-3,465,40,"全　国　計",379843,150501,229342,46767855033,21069788016,25698067017,-3835,-3809,-26,-1004753739,-691001251,-313752488,1639402,1631076,2096955,2085596,1634487,-3411,2112750,-27154,1631076,-3411,2085596,-27154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018-11"
"Japan",12,"2018-12-01",2018,1516,1037,479,1.18709,1.664556,0.7323222,0.16681799292564392,0.18044599890708923,0.15380939841270447,1.1210047006607056,1.5890603065490723,0.6752524375915527,NA,NA,NA,NA,1582695,994422,1030082,449529,579087,1305,211,926,111,379,100,"全　国　計",357329,143123,214206,39550909348,17988795055,21562114293,-2343,-2384,41,-392639558,-226353057,-166286501,1638866,1630610,2095756,2084510,1634171,-3561,2111685,-27175,1630610,-3561,2084510,-27175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018-12"
